LME code,LME_NAME,CHI scores,Ocean Acid-ification,SLR,SST,UV,Artisanal Fishing,Demersal Destructive Fishing,Demersal Non-destructive High Bycatch Fishing,Demersal Non-destructive Low Bycatch Fishing,Pelagic High Bycatch Fishing,Pelagic Low Bycatch Fishing,Shipping,Ocean-based pollution,Oil Rigs,Invasive Species,Inorganic Pollution,Light Pollution,Nutrient Pollution,Organic Pollution,Direct Human Impact,,,
57,Laptev Sea,0.6309143620,0.2494616650,0.0000000000,0.2084340660,0.1702353000,0.0000085000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003545870,0.0000000000,0.0003224390,0.0007937060,0.0000159000,0.0004059080,0.0000526000,0.0008297120,,,
58,Kara Sea,1.5606123390,0.4895158630,0.2415477260,0.4962742980,0.2953894640,0.0000402000,0.0010936810,0.0000494000,0.0000149000,0.0000000000,0.0000000000,0.0121277290,0.0183039040,0.0000005880,0.0012671250,0.0012008740,0.0000784000,0.0004344160,0.0001227380,0.0031510190,,,
59,Iceland Shelf and Sea,4.3991204530,0.9492832220,0.0389241480,1.8666907710,0.4671226310,0.0006871360,0.2412733920,0.1988537920,0.1530379220,0.0000000000,0.0539225350,0.1989929840,0.2098588550,0.0000000000,0.0113240140,0.0014497330,0.0006658370,0.0016578520,0.0000019200,0.0053737040,,,
60,Faroe Plateau,4.7876513230,1.0738661980,0.0246162180,2.1563069690,0.5576568220,0.0004528060,0.3586862820,0.0436344120,0.0174319430,0.0000000000,0.0118801000,0.2464424990,0.2717418640,0.0000000000,0.0165047010,0.0010282400,0.0006789300,0.0000000000,0.0000000000,0.0067233520,,,
61,Antarctica,0.8849424590,0.4014747950,0.0633868820,0.2522299800,0.1382996160,0.0000000000,0.0022833210,0.0000000000,0.0108235680,0.0000000000,0.0021599220,0.0057075640,0.0083750270,0.0000000000,0.0002017790,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,
62,Black Sea,4.4759183470,0.9600955020,0.1754542280,1.8191581890,0.5268990480,0.0018151140,0.0126016840,0.0117388080,0.0570456770,0.0001087590,0.0029430880,0.3342291250,0.4354200240,0.0000604000,0.0409923100,0.0361959620,0.0024912220,0.0318700620,0.0093947710,0.0174044280,,,
63,Hudson Bay Complex,2.3232051630,0.3200797480,0.2734696160,1.0758855230,0.5825117620,0.0000710000,0.0005295450,0.0000421000,0.0000109000,0.0000000000,0.0000006560,0.0292306110,0.0328156650,0.0000000000,0.0028236100,0.0012565460,0.0001495260,0.0024419150,0.0005477390,0.0013386560,,,
64,Central Arctic,0.7443283220,0.7259935240,0.0000000000,0.0115677560,0.0027364560,0.0000000000,0.0003684170,0.0000006880,0.0000003940,0.0000000000,0.0000000000,0.0013197340,0.0023413520,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,
65,Aleutian Islands,3.0487092230,0.6444851430,0.0329667830,1.2858364350,0.5971332530,0.0000070800,0.0857355020,0.0098008240,0.0211710550,0.0000000000,0.0004336470,0.1447862940,0.2185118310,0.0000000000,0.0053207520,0.0005654140,0.0000623000,0.0012707040,0.0000665000,0.0005556160,,,
66,Canadian High Arctic/North Greenland,0.5637354750,0.4324115710,0.0008181340,0.0772185760,0.0504139990,0.0000891000,0.0001751040,0.0000418000,0.0000333000,0.0000000000,0.0000000000,0.0011995100,0.0012650500,0.0000000000,0.0000000000,0.0000000202,0.0000000000,0.0000645000,0.0000048400,0.0000000000,,,
99,Tropical warm pool,3.5488789350,1.1262969440,0.0056294630,1.4880668240,0.6753018060,0.0002703230,0.0060486870,0.0259219840,0.0444197870,0.0001137100,0.0546724760,0.0437387100,0.0772021840,0.0000000000,0.0002426770,0.0000490000,0.0000160000,0.0000054500,0.0000003490,0.0008825910,,,
