Region;Year;Month;Mean Mesozooplankton abundance #m^3;mean CCS mm
A1;2004;8;;
A1;2004;9;;
A1;2004;10;;
A1;2004;11;;
A1;2004;12;;
A1;2005;1;;
A1;2005;2;;
A1;2005;3;;
A1;2005;4;;
A1;2005;5;;
A1;2005;6;;
A1;2005;7;;
A1;2005;8;;
A1;2005;9;;
A1;2005;10;;
A1;2005;11;;
A1;2005;12;;
A1;2006;1;;
A1;2006;2;;
A1;2006;3;;
A1;2006;4;;
A1;2006;5;;
A1;2006;6;;
A1;2006;7;;
A1;2006;8;;
A1;2006;9;;
A1;2006;10;;
A1;2006;11;;
A1;2006;12;;
A1;2007;1;;
A1;2007;2;;
A1;2007;3;;
A1;2007;4;;
A1;2007;5;;
A1;2007;6;;
A1;2007;7;;
A1;2007;8;;
A1;2007;9;;
A1;2007;10;;
A1;2007;11;;
A1;2007;12;;
A1;2008;1;;
A1;2008;2;;
A1;2008;3;;
A1;2008;4;;
A1;2008;5;;
A1;2008;6;;
A1;2008;7;;
A1;2008;8;;
A1;2008;9;;
A1;2008;10;;
A1;2008;11;;
A1;2008;12;;
A1;2009;1;;
A1;2009;2;;
A1;2009;3;;
A1;2009;4;;
A1;2009;5;;
A1;2009;6;;
A1;2009;7;;
A1;2009;8;13;
A1;2009;9;109.6666667;1.135
A1;2009;10;59.83333333;1.525
A1;2009;11;1.583333333;2.9675
A1;2009;12;5.083333333;2.3425
A1;2010;1;0.5;
A1;2010;2;0;
A1;2010;3;;
A1;2010;4;;
A1;2010;5;339;1.835
A1;2010;6;220.5;2.7
A1;2010;7;;
A1;2010;8;;
A1;2010;9;;
A1;2010;10;31;2.1
A1;2010;11;0;
A1;2010;12;0.166666667;
A1;2011;1;0.066666667;
A1;2011;2;0.666666667;2.7
A1;2011;3;0.083333333;2.27
A1;2011;4;313.25;1.4675
A1;2011;5;147.6;2.6675
A1;2011;6;34.66666667;2.3825
A1;2011;7;284.3333333;1.786666667
A1;2011;8;;
A1;2011;9;142.5833333;1.0125
A1;2011;10;11.22222222;1.925
A1;2011;11;;
A1;2011;12;;
A6;1958;1;11.77777778;2.026666667
A6;1958;2;0.166666667;
A6;1958;3;;
A6;1958;4;59.33333333;2.166666667
A6;1958;5;218.8333333;1.59
A6;1958;6;272.3809524;1.178571429
A6;1958;7;119.9444444;1.37
A6;1958;8;188.2857143;1.993333333
A6;1958;9;109.1190476;2.790909091
A6;1958;10;37.86666667;2.975555556
A6;1958;11;;
A6;1958;12;0.083333333;2.7
A6;1959;1;;
A6;1959;2;;
A6;1959;3;4.142857143;2.394
A6;1959;4;;
A6;1959;5;43.91666667;1.9
A6;1959;6;395.5833333;1.285
A6;1959;7;1672.75;1.0425
A6;1959;8;;
A6;1959;9;79.55555556;1.4
A6;1959;10;;
A6;1959;11;;
A6;1959;12;1.666666667;3.006666667
A6;1960;1;0.166666667;2.7
A6;1960;2;19.33333333;2.645
A6;1960;3;16;2.42
A6;1960;4;7.925925926;2.7
A6;1960;5;526.8666667;1.278888889
A6;1960;6;445.0833333;0.9375
A6;1960;7;1053.727273;0.946818182
A6;1960;8;1489.090909;1.094545455
A6;1960;9;662.6470588;1.171764706
A6;1960;10;234.6666667;1.065
A6;1960;11;163.1794872;1.677777778
A6;1960;12;5.125;2.248333333
A6;1961;1;4.1;2.487142857
A6;1961;2;15.76190476;2.704285714
A6;1961;3;0.37037037;2.672
A6;1961;4;6.555555556;2.7
A6;1961;5;832.4444444;1.613333333
A6;1961;6;407.0952381;1.438571429
A6;1961;7;1622.52381;1.001428571
A6;1961;8;633.6111111;1.029166667
A6;1961;9;446.0666667;1.1625
A6;1961;10;234;1.541428571
A6;1961;11;22.5;1.70625
A6;1961;12;2.696969697;2.6375
A6;1962;1;4.037037037;2.675
A6;1962;2;1;2.7
A6;1962;3;8.196078431;2.634666667
A6;1962;4;103.2;2.062
A6;1962;5;537.6190476;1.7
A6;1962;6;464.6;1.0825
A6;1962;7;276.2857143;1.561
A6;1962;8;373.375;1.647857143
A6;1962;9;595.5555556;1.14
A6;1962;10;418.2666667;1.488
A6;1962;11;3.166666667;2.7
A6;1962;12;3.913043478;2.63
A6;1963;1;3.666666667;2.566666667
A6;1963;2;12.27777778;2.028888889
A6;1963;3;2.133333333;2.6275
A6;1963;4;167;2.193333333
A6;1963;5;632;1.96
A6;1963;6;876.6904762;1.39
A6;1963;7;124.5714286;1.505
A6;1963;8;527;1.678571429
A6;1963;9;214;1.695
A6;1963;10;106.3888889;2.475
A6;1963;11;0.2;2.68
A6;1963;12;6.5;2.8525
A6;1964;1;2.361111111;2.665
A6;1964;2;10.79166667;2.7
A6;1964;3;12.19047619;2.457142857
A6;1964;4;54.66666667;2.556666667
A6;1964;5;88.26666667;2.16
A6;1964;6;230.5555556;2.283333333
A6;1964;7;585.8484848;1.002
A6;1964;8;155.1212121;2.054545455
A6;1964;9;117.6388889;2.607272727
A6;1964;10;111.3666667;2.13125
A6;1964;11;11.86666667;2.234
A6;1964;12;3.611111111;2.2075
A6;1965;1;16.22222222;2.284
A6;1965;2;6;2.694
A6;1965;3;20.66666667;2.7
A6;1965;4;;
A6;1965;5;71.55555556;2.411666667
A6;1965;6;;
A6;1965;7;663.7333333;1.208
A6;1965;8;62;1.546666667
A6;1965;9;102.8333333;0.68
A6;1965;10;6.083333333;2.355
A6;1965;11;8.25;2.433333333
A6;1965;12;;
A6;1966;1;0.904761905;2.7
A6;1966;2;2.041666667;2.7325
A6;1966;3;3.666666667;2.464444444
A6;1966;4;0;
A6;1966;5;392.9393939;2.420909091
A6;1966;6;278;2.5525
A6;1966;7;206.7666667;1.166666667
A6;1966;8;415.2619048;1.939285714
A6;1966;9;35.66666667;2.5375
A6;1966;10;84.08333333;1.85375
A6;1966;11;31.33333333;2.106666667
A6;1966;12;0.916666667;2.668571429
A6;1967;1;3.259259259;2.7075
A6;1967;2;;
A6;1967;3;11.66666667;2.7
A6;1967;4;0.641025641;2.7
A6;1967;5;191.8148148;1.554444444
A6;1967;6;107.0980392;1.875384615
A6;1967;7;247.3333333;1.592
A6;1967;8;81.20833333;1.756666667
A6;1967;9;141.4761905;2.171666667
A6;1967;10;9.027777778;3.636666667
A6;1967;11;48.03703704;2.945
A6;1967;12;5.757575758;2.7
A6;1968;1;6.733333333;2.704285714
A6;1968;2;0.111111111;2.27
A6;1968;3;7.583333333;2.398333333
A6;1968;4;;
A6;1968;5;114.0588235;2.52375
A6;1968;6;103.2333333;1.63875
A6;1968;7;82;1.3525
A6;1968;8;37.56410256;1.74625
A6;1968;9;250.0666667;1.27125
A6;1968;10;52;1.463333333
A6;1968;11;5.25;2.7
A6;1968;12;5.111111111;2.45
A6;1969;1;8.333333333;2.7
A6;1969;2;7.7;2.7
A6;1969;3;2.791666667;2.7
A6;1969;4;7.518518519;2.697142857
A6;1969;5;275.2916667;2.3475
A6;1969;6;73.61904762;2.57
A6;1969;7;154;1.18
A6;1969;8;333.5;1.735
A6;1969;9;174.6666667;1.864285714
A6;1969;10;22.9047619;2.374166667
A6;1969;11;2.777777778;2.23
A6;1969;12;13.66666667;2.195
A6;1970;1;;
A6;1970;2;5.266666667;2.473333333
A6;1970;3;9.222222222;2.528
A6;1970;4;2;2.7
A6;1970;5;153.1818182;2.573
A6;1970;6;1.333333333;2.7
A6;1970;7;54.48148148;1.775
A6;1970;8;42.52777778;1.9975
A6;1970;9;82;3.218888889
A6;1970;10;32.03030303;2.742727273
A6;1970;11;19.52380952;2.647777778
A6;1970;12;4.416666667;2.7
A6;1971;1;;
A6;1971;2;2.666666667;2.7
A6;1971;3;5.1;2.4
A6;1971;4;8.527777778;2.858888889
A6;1971;5;16.88888889;2.7
A6;1971;6;118.3888889;2.738333333
A6;1971;7;73.03030303;1.7425
A6;1971;8;19.28571429;2.971
A6;1971;9;66.41666667;2.471666667
A6;1971;10;5.533333333;4.056
A6;1971;11;14.76190476;2.180909091
A6;1971;12;;
A6;1972;1;1;2.786
A6;1972;2;5.512820513;2.7
A6;1972;3;11.76666667;2.561
A6;1972;4;18.38095238;2.7
A6;1972;5;133.5;2.7
A6;1972;6;79.90909091;2.160909091
A6;1972;7;26.14285714;2.661428571
A6;1972;8;31.05128205;2.7
A6;1972;9;9.333333333;2.7
A6;1972;10;8.1;4.305
A6;1972;11;9.625;2.235
A6;1972;12;;
A6;1973;1;;
A6;1973;2;4.444444444;2.463333333
A6;1973;3;11.69230769;2.6325
A6;1973;4;9;2.7
A6;1973;5;74.91666667;2.20125
A6;1973;6;99.0952381;2.572857143
A6;1973;7;27.87878788;1.576
A6;1973;8;76.22222222;2.343333333
A6;1973;9;27.91666667;1.67
A6;1973;10;9.296296296;3.291666667
A6;1973;11;0.545454545;2.5925
A6;1973;12;0.833333333;2.7
A6;1974;1;5.428571429;2.862857143
A6;1974;2;3.066666667;2.475
A6;1974;3;2;2.69
A6;1974;4;16.75;2.7
A6;1974;5;32.55555556;2.7
A6;1974;6;209.8484848;2.461
A6;1974;7;472.4;1.836
A6;1974;8;416.2424242;1.842727273
A6;1974;9;;
A6;1974;10;83.88888889;2.217777778
A6;1974;11;59.56410256;2.02
A6;1974;12;;
A6;1975;1;3.833333333;2.7
A6;1975;2;9.8;2.364
A6;1975;3;4.133333333;2.7
A6;1975;4;;
A6;1975;5;;
A6;1975;6;41.47619048;2.585714286
A6;1975;7;124.1666667;2.7
A6;1975;8;342;3.02
A6;1975;9;30.23809524;1.765
A6;1975;10;39.75;3.435
A6;1975;11;23.0952381;2.3
A6;1975;12;;
A6;1976;1;9.333333333;2.3275
A6;1976;2;;
A6;1976;3;2.476190476;2.7
A6;1976;4;22.66666667;2.7
A6;1976;5;43.42857143;2.152
A6;1976;6;178.4545455;2.626363636
A6;1976;7;172.2962963;2.51625
A6;1976;8;276.3333333;1.216
A6;1976;9;22.91666667;2.7625
A6;1976;10;97.51515152;1.535555556
A6;1976;11;16.84615385;1.982
A6;1976;12;3.266666667;2.7
A6;1977;1;16.88095238;2.226363636
A6;1977;2;9.916666667;2.51375
A6;1977;3;4.777777778;2.45
A6;1977;4;7.2;2.7
A6;1977;5;2;2.7
A6;1977;6;;
A6;1977;7;;
A6;1977;8;239.3333333;1.708571429
A6;1977;9;28.4;3.13
A6;1977;10;19.94444444;2.051666667
A6;1977;11;3.125;3.0575
A6;1977;12;1.5;3.1825
A6;1978;1;14.33333333;2.4475
A6;1978;2;;
A6;1978;3;1.888888889;2.7
A6;1978;4;13.14285714;2.54
A6;1978;5;28.33333333;2.7
A6;1978;6;701.8333333;1.31
A6;1978;7;720.4333333;1.009
A6;1978;8;276.2666667;1.114
A6;1978;9;;
A6;1978;10;56.71428571;1.396666667
A6;1978;11;0.444444444;2.7
A6;1978;12;;
A6;1979;1;2.179487179;2.7
A6;1979;2;7.944444444;2.473333333
A6;1979;3;3.722222222;2.7
A6;1979;4;0.666666667;
A6;1979;5;469.25;2.2125
A6;1979;6;;
A6;1979;7;1443.666667;1.068571429
A6;1979;8;218.6060606;1.498888889
A6;1979;9;77.66666667;1.9875
A6;1979;10;0.166666667;
A6;1979;11;4.916666667;2.53
A6;1979;12;2.366666667;2.29
A6;1980;1;;
A6;1980;2;10.16666667;2.7
A6;1980;3;3;2.698571429
A6;1980;4;6.833333333;2.7
A6;1980;5;31.33333333;2.464545455
A6;1980;6;145.2222222;2.823333333
A6;1980;7;;
A6;1980;8;;
A6;1980;9;37.66666667;
A6;1980;10;57.28571429;2.676666667
A6;1980;11;3;4.85
A6;1980;12;0.2;2.7
A6;1981;1;;
A6;1981;2;;
A6;1981;3;;
A6;1981;4;19.96969697;2.594
A6;1981;5;211.3333333;2.7
A6;1981;6;6.791666667;2.7
A6;1981;7;62.625;2.128571429
A6;1981;8;;
A6;1981;9;;
A6;1981;10;12;2.104285714
A6;1981;11;0.666666667;3.025
A6;1981;12;;
A6;1982;1;0.888888889;2.614
A6;1982;2;1.875;2.646666667
A6;1982;3;3.166666667;2.7
A6;1982;4;77.72222222;2.473333333
A6;1982;5;10.33333333;2.7
A6;1982;6;252.7619048;2.462857143
A6;1982;7;155.75;1.66
A6;1982;8;89.83333333;1.858333333
A6;1982;9;443;2.15375
A6;1982;10;;
A6;1982;11;1.583333333;2.98
A6;1982;12;;
A6;1983;1;;
A6;1983;2;2.5;2.69
A6;1983;3;1.952380952;2.7
A6;1983;4;;
A6;1983;5;170.1333333;2.564
A6;1983;6;;
A6;1983;7;219.7777778;1.488571429
A6;1983;8;134.875;1.32625
A6;1983;9;212.1111111;1.3
A6;1983;10;82.45833333;1.74375
A6;1983;11;;
A6;1983;12;10.55555556;2.4925
A6;1984;1;;
A6;1984;2;;
A6;1984;3;0.5;2.7
A6;1984;4;12.66666667;2.50375
A6;1984;5;157.8571429;2.09
A6;1984;6;820.952381;0.975714286
A6;1984;7;794.3148148;1.005625
A6;1984;8;628.3333333;1.045
A6;1984;9;;
A6;1984;10;;
