Year,FishCountry,TaxonName,CommonName,SumCatch
1955,New Zealand,Thunnus maccoyii,Southern bluefin tuna,84.39318772
1955,Norway,Thunnus thynnus,Atlantic bluefin tuna,442.6714916
1955,Philippines,Euthynnus affinis,Kawakawa,11856.17492
1955,Portugal,Thunnus obesus,Bigeye tuna,1731.8998
1955,Portugal,Katsuwonus pelamis,Skipjack tuna,275.2333799
1955,Réunion (France),Thunnus alalunga,Albacore,5.838436207
1955,Réunion (France),Katsuwonus pelamis,Skipjack tuna,14.46881886
1955,Réunion (France),Thunnus albacares,Yellowfin tuna,76.27723154
1955,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,94.16648881
1955,Spain,Thunnus thynnus,Atlantic bluefin tuna,568.3511095
1955,Taiwan,Thunnus albacares,Yellowfin tuna,5358.707699
1955,USA,Thunnus alalunga,Albacore,11174.77244
1955,USA,Thunnus thynnus,Atlantic bluefin tuna,213.9787792
1955,USA,Euthynnus alletteratus,Little tunny,3.346449981
1955,USA,Thunnus orientalis,Pacific bluefin tuna,5160.99747
1955,USA,Katsuwonus pelamis,Skipjack tuna,40915.45781
1955,USA,Thunnus albacares,Yellowfin tuna,46006.42357
1956,Angola,Euthynnus alletteratus,Little tunny,99.38529574
1956,Angola,Thunnus albacares,Yellowfin tuna,3730.514068
1956,Australia,Scombridae,Mackerels  tunas and bonitos,40.04237891
1956,Australia,Thunnus maccoyii,Southern bluefin tuna,411.2132766
1956,Barbados,Makaira nigricans,Blue marlin,96.00105182
1956,Brazil,Katsuwonus pelamis,Skipjack tuna,33.4353591
1956,Brazil,Thunnus albacares,Yellowfin tuna,3327.183126
1956,Canada,Thunnus thynnus,Atlantic bluefin tuna,17.10061706
1956,Chile,Scombridae,Mackerels  tunas and bonitos,605.0810749
1956,France,Thunnus thynnus,Atlantic bluefin tuna,297.0769118
1956,France,Thunnus albacares,Yellowfin tuna,1215.443798
1956,Guam (USA),Scombridae,Mackerels  tunas and bonitos,8.092071267
1956,Japan,Thunnus alalunga,Albacore,51518.44286
1956,Japan,Thunnus obesus,Bigeye tuna,46444.67697
1956,Japan,Makaira nigricans,Blue marlin,12.23405121
1956,Japan,Thunnus orientalis,Pacific bluefin tuna,11507.45185
1956,Japan,Katsuwonus pelamis,Skipjack tuna,46439.34783
1956,Japan,Thunnus maccoyii,Southern bluefin tuna,19244.31971
1956,Japan,Thunnus albacares,Yellowfin tuna,54990.16747
1956,Korea (South),Thunnus orientalis,Pacific bluefin tuna,0.171128447
1956,Mexico,Katsuwonus pelamis,Skipjack tuna,440.4094391
1956,Mexico,Thunnus albacares,Yellowfin tuna,266.3551346
1956,New Zealand,Thunnus maccoyii,Southern bluefin tuna,0.210982969
1956,Norway,Thunnus thynnus,Atlantic bluefin tuna,178.915466
1956,Philippines,Euthynnus affinis,Kawakawa,12362.48844
1956,Portugal,Thunnus obesus,Bigeye tuna,489.4355456
1956,Portugal,Katsuwonus pelamis,Skipjack tuna,196.5952714
1956,Réunion (France),Thunnus alalunga,Albacore,5.838436207
1956,Réunion (France),Katsuwonus pelamis,Skipjack tuna,14.46881886
1956,Réunion (France),Thunnus albacares,Yellowfin tuna,76.27723154
1956,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,94.16648881
1956,Spain,Thunnus thynnus,Atlantic bluefin tuna,714.6279971
1956,Taiwan,Thunnus alalunga,Albacore,93.66747704
1956,Taiwan,Thunnus obesus,Bigeye tuna,1538.139884
1956,Taiwan,Thunnus orientalis,Pacific bluefin tuna,97.56548672
1956,Taiwan,Thunnus albacares,Yellowfin tuna,4912.148724
1956,USA,Thunnus alalunga,Albacore,15109.30741
1956,USA,Thunnus thynnus,Atlantic bluefin tuna,109.6245963
1956,USA,Euthynnus alletteratus,Little tunny,2.788708318
1956,USA,Thunnus orientalis,Pacific bluefin tuna,4788.114776
1956,USA,Katsuwonus pelamis,Skipjack tuna,49891.27034
1956,USA,Thunnus albacares,Yellowfin tuna,56480.97993
1957,Angola,Euthynnus alletteratus,Little tunny,136.000931
1957,Angola,Thunnus albacares,Yellowfin tuna,3357.462662
1957,Australia,Scombridae,Mackerels  tunas and bonitos,39.15174688
1957,Australia,Thunnus maccoyii,Southern bluefin tuna,844.7666761
1957,Barbados,Makaira nigricans,Blue marlin,288.0031554
1957,Brazil,Katsuwonus pelamis,Skipjack tuna,39.91899937
1957,Brazil,Thunnus albacares,Yellowfin tuna,2690.400443
1957,Canada,Thunnus alalunga,Albacore,0.242477862
1957,Canada,Thunnus thynnus,Atlantic bluefin tuna,20.09322504
1957,Chile,Scombridae,Mackerels  tunas and bonitos,302.5405375
1957,France,Thunnus thynnus,Atlantic bluefin tuna,317.1784075
1957,France,Thunnus albacares,Yellowfin tuna,3993.601049
1957,Guam (USA),Scombridae,Mackerels  tunas and bonitos,7.648178998
1957,Japan,Thunnus alalunga,Albacore,60724.7237
1957,Japan,Thunnus thynnus,Atlantic bluefin tuna,24.17468647
1957,Japan,Thunnus obesus,Bigeye tuna,56981.7276
