IYear;LME;EcolFP
1957;8;0.366666304
1957;9;0.712817235
1957;10;0.043836891
1957;11;0.005273067
1957;12;0.015254465
1957;13;0.04105359
1957;14;0.009719821
1957;15;0.008662672
1957;16;0.012469894
1957;17;0.009701476
1957;18;0.522254798
1957;19;1.365073344
1957;20;0.431398288
1957;21;0.351818978
1957;22;0.543291698
1957;23;0.344588493
1957;24;0.18785039
1957;25;0.529529512
1957;26;0.057589562
1957;27;0.022514589
1957;28;0.01146611
1957;29;0.02528317
1957;30;0.01113666
1957;31;0.003903575
1957;32;0.032798173
1957;33;0.011598714
1957;34;0.034477555
1957;35;0.048262068
1957;36;0.159126979
1957;37;0.039544503
1957;38;0.0294992
1957;39;0.010745698
1957;40;0.029866731
1957;41;0.00499013
1957;42;0.003292841
1957;43;0.006585085
1957;44;0.006668314
1957;45;0.007911139
1957;46;0.005988555
1957;47;0.53283774
1957;48;0.435172238
1957;49;0.220923051
1957;50;0.28368864
1957;51;0.165849572
1957;52;0.188258824
1957;53;0.071915355
1957;54;0.000410622
1957;55;0.00022274
1957;56;0.000218834
1957;57;0.000388895
1957;58;0.000960555
1957;59;0.092466248
1957;60;0.615137875
1957;61;9.67115E-06
1957;62;0.046751501
1957;63;0.003369608
1957;64;0.000844617
1957;65;0.003889424
1957;66;0.403063903
1958;1;0.078251344
1958;2;0.046021928
1958;3;0.017887889
1958;4;0.006613292
1958;5;0.032225736
1958;6;0.033765014
1958;7;0.262610954
1958;8;0.328690602
1958;9;0.645743449
1958;10;0.044861476
1958;11;0.006424281
1958;12;0.018222975
1958;13;0.047491722
1958;14;0.010080924
1958;15;0.007854738
1958;16;0.011989692
1958;17;0.008977726
1958;18;0.537747521
1958;19;1.751108351
1958;20;0.37495721
1958;21;0.387899159
1958;22;0.527702326
1958;23;0.273204651
1958;24;0.190200525
1958;25;0.537144748
1958;26;0.068667645
1958;27;0.02550539
1958;28;0.012122163
1958;29;0.025782218
1958;30;0.011777103
1958;31;0.003772089
1958;32;0.028555087
1958;33;0.012091931
1958;34;0.03336924
1958;35;0.049375582
1958;36;0.166561845
1958;37;0.061428488
1958;38;0.031317157
1958;39;0.011217336
1958;40;0.032592035
1958;41;0.004901754
1958;42;0.00298545
1958;43;0.005250686
1958;44;0.005022251
1958;45;0.005948752
1958;46;0.006374331
1958;47;0.530513937
1958;48;0.426516624
1958;49;0.231884342
1958;50;0.272326663
1958;51;0.172443316
1958;52;0.169416022
1958;53;0.078138005
1958;54;0.000405139
1958;55;0.000227819
1958;56;0.000218834
1958;57;0.000388895
1958;58;0.00087931
1958;59;0.100352411
1958;60;0.934895161
1958;61;9.67115E-06
1958;62;0.029909368
1958;63;0.00327475
1958;64;0.000628275
1958;65;0.003705638
1958;66;0.37127888
1959;1;0.077436878
1959;2;0.042822302
1959;3;0.018168602
1959;4;0.008896341
1959;5;0.034354443
1959;6;0.033553231
1959;7;0.267532157
1959;8;0.360504948
1959;9;0.699911284
1959;10;0.045946082
1959;11;0.008034873
1959;12;0.020544815
1959;13;0.06337258
1959;14;0.013153914
1959;15;0.01055966
1959;16;0.016511511
1959;17;0.011798463
1959;18;0.521091415
1959;19;1.39094838
1959;20;0.401780989
1959;21;0.409143553
1959;22;0.544486542
1959;23;0.263539067
1959;24;0.178025145
1959;25;0.565231711
1959;26;0.060340946
1959;27;0.026355675
1959;28;0.015102573
1959;29;0.026640397
1959;30;0.011325878
1959;31;0.003687934
1959;32;0.025119403
1959;33;0.015485983
1959;34;0.031613716
1959;35;0.049524381
1959;36;0.153650973
1959;37;0.063990161
1959;38;0.030160214
1959;39;0.010784583
1959;40;0.031320494
1959;41;0.006002405
1959;42;0.004074584
1959;43;0.006553499
1959;44;0.00575882
1959;45;0.005924873
1959;46;0.006950755
1959;47;0.4638729
1959;48;0.328487244
1959;49;0.259472945
1959;50;0.322954515
1959;51;0.191706216
1959;52;0.19913919
1959;53;0.080120844
1959;54;0.000397386
1959;55;0.000233318
1959;56;0.000218834
1959;57;0.000388895
1959;58;0.000863746
1959;59;0.11409895
1959;60;0.531641054
1959;61;9.67115E-06
1959;62;0.021721322
1959;63;0.003531965
1959;64;0.000864189
1959;65;0.004022616
1959;66;0.407236261
1960;1;0.080886966
1960;2;0.042370576
1960;3;0.018060448
1960;4;0.006101566
1960;5;0.036084607
1960;6;0.036031894
1960;7;0.221796531
1960;8;0.401654736
1960;9;0.923595194
1960;10;0.045627296
1960;11;0.008937704
1960;12;0.022604986
1960;13;0.072980466
1960;14;0.014496896
1960;15;0.012839641
1960;16;0.025453268
1960;17;0.012334399
1960;18;0.595778998
1960;19;1.638785428
1960;20;0.446572594
1960;21;0.390779643
1960;22;0.48619132
1960;23;0.321919192
1960;24;0.187984362
1960;25;0.624032441
1960;26;0.063554966
1960;27;0.030102688
1960;28;0.018696703
1960;29;0.02574802
1960;30;0.013444146
1960;31;0.004841323
1960;32;0.034061311
1960;33;0.01140135
1960;34;0.038385014
1960;35;0.050720994
1960;36;0.157495909
1960;37;0.074263889
1960;38;0.0286048
1960;39;0.009587409
1960;40;0.025834924
1960;41;0.00545145
1960;42;0.004243003
1960;43;0.006877057
1960;44;0.00695305
1960;45;0.00698166
1960;46;0.007091916
1960;47;0.476645632
1960;48;0.329178434
1960;49;0.250852308
1960;50;0.318071699
1960;51;0.168259542
1960;52;0.189119823
1960;53;0.069685682
1960;54;0.000404426
1960;55;0.000240506
1960;56;0.000218834
1960;57;0.000388895
1960;58;0.000936063
1960;59;0.113757526
1960;60;0.963854191
1960;61;1.19867E-05
1960;62;0.027887534
1960;63;0.003726366
1960;64;0.000759725
1960;65;0.004284271
1960;66;0.430650537
1961;1;0.091134735
1961;2;0.054051844
1961;3;0.021280068
1961;4;0.007010149
1961;5;0.033558745
1961;6;0.033415023
1961;7;0.246043635
1961;8;0.429952166
1961;9;1.040036178
1961;10;0.053170672
